MOLECULE_NAME,y_actual,y_pred
306-222-03,1.63,2.134785746324094
306-223-01,2.06,2.0459169148492222
306-223-01,2.62,2.0459169148492222
306-224-01,1.94,2.0459169148492222
306-225-01,1.49,1.9733774245443203
306-227-01,2.92,2.9166707285542675
306-228-01,3.16,3.14381289242979
306-232-01,3.25,3.2231592599447874
306-233-07,1.11,1.6842270848920706
306-234-01,2.99,3.0026216394121046
306-238-08,1.64,1.6643941073761255
306-239-01,1.75,1.7937475868500798
306-240-01,3.19,2.948289729860784
306-241-01,3.33,3.2316355244489956
306-242-03,2.6,2.57940168732793
306-243-05,2.55,2.514158801764702
306-244-01,2.42,2.4292132385520864
306-245-01,3.24,3.219162578955079
306-246-01,2.8,2.8949975877838012
306-247-01,2.63,2.61303553893781
306-248-01,2.92,2.9075651553575135
306-249-01,3.17,3.1420690813495735
306-250-01,2.33,2.3067007175999126
306-251-02,2.52,2.514158801764702
306-252-01,3.93,3.904352304056295
306-253-01,2.16,2.1578902613183457
306-257-01,2.22,1.7937475868500798
306-258-01,2.3,2.3233316767174252
306-260-01,0.9,2.6220667508817606
306-261-03,3.24,3.2123493190195846
306-262-03,3.24,3.2146234987469007
306-265-01,3.04,3.043703092625041
306-266-01,2.99,2.9536197683815084
306-268-01,3.08,2.998452664998625
306-269-01,2.64,2.57940168732793
306-274-04,3.16,3.0833575349611952
306-274-05,0.78,1.8275752726654657
306-274-06,3.07,3.0541338493958086
306-275-01,2.13,2.155924963024706
306-277-02,2.54,2.5635981568602793
306-278-02,2.53,2.5398599867304847
306-279-06,2.53,2.5133242015497896
306-282-06,2.36,2.3737827094151998
306-283-06,2.83,2.8093908980543807
306-285-02,1.89,1.9038538957415883
306-286-04,3.09,3.105349258950561
306-286-05,0.74,2.062728818388805
306-286-06,3.01,2.990517592432915
306-287-07,3.37,3.2327519506333084
306-288-09,3.25,3.274533316663289
306-289-01,0.87,0.9134390272616639
306-292-06,3.36,3.362877071438173
306-293-01,3.01,3.012468115653655
306-295-07,1.94,1.92623803433582
306-296-02,3.5,3.4871408647397875
306-296-03,2.84,2.86510148140187
306-297-04,3.32,3.298425057710098
306-300-04,2.44,2.414054340726595
306-301-01,3.1,3.1125258080177227
306-302-01,3.33,3.3126648998162684
306-304-01,2.97,2.9559887193576264
306-305-01,3.03,3.003953625997459
306-306-01,2.83,2.8723902693542183
306-307-01,2.55,2.5394599536115465
306-308-01,3.32,3.336249862135878
306-309-01,3.58,3.56877947414753
306-312-05,2.85,2.839538997258292
306-313-01,3.37,3.3703754699176387
306-317-01,3.52,3.4871408647397875
306-319-01,3.4,3.4154700439728716
306-320-01,3.23,3.210650059702198
306-321-01,2.99,3.0024597815629015
306-324-01,2.97,2.969492953940869
306-326-01,3.06,3.0697863104286274
306-327-01,3.53,3.5434286957726724
306-328-08,2.91,2.8958616560136106
306-329-01,3.57,3.5396148561650174
306-331-01,3.44,3.247528657096141
306-332-01,3.28,3.2738809089569028
306-333-01,3.24,3.2219078752609946
306-334-01,1.78,1.767822175820391
306-335-01,2.01,1.9821235241630673
306-336-01,3.13,2.8741661070050517
306-337-01,3.66,3.561328312894991
306-338-01,2.64,2.6658528694743167
306-339-01,2.6,2.7543575053912446
306-340-01,3.59,3.5987070689966196
306-342-01,3.61,3.6210504179762504
306-343-01,3.46,3.4442466416042516
306-344-01,3.23,3.2536420984133296
306-345-01,2.56,2.5458415835685106
306-346-01,2.64,2.6496538190651866
306-347-01,3.61,3.590744732178568
306-348-01,3.24,3.2223004530073998
306-349-01,3.2,3.1885555521991
306-350-01,3.61,3.5890224758267264
306-351-01,3.16,3.177205687123825
306-352-01,2.81,2.831986465298359
306-355-01,3.25,3.2290430741399105
306-356-01,2.9,2.8811269272309823
306-358-01,2.67,2.6420271341685897
306-359-01,3.01,3.025506421708763
306-360-03,2.48,2.4703012017054937
306-362-04,3.27,3.2698436942561324
306-364-03,3.0,2.9800815779042025
306-366-03,2.69,2.6739329610715625
306-367-05,3.68,3.6589267381318513
306-369-01,1.95,1.9403689566474838
306-370-01,2.67,2.6779764054525255
306-371-01,3.53,3.520355933116794
306-372-01,2.78,2.7634927773078184
306-373-01,3.24,3.279347592873535
306-375-01,2.47,2.4646687803898746
306-376-03,3.01,3.0051358734829017
306-377-04,2.29,2.3086996022844835
306-378-01,3.33,3.2937629381589577
306-379-01,2.22,2.2203666590322086
306-382-01,3.56,3.5656176933480417
306-383-03,3.45,3.442587823088399
306-384-03,3.7,3.673896533208945
306-387-01,3.38,3.4074516046229872
